Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
PLSE,"Pulse Biosciences CS",+388.78,23.79,-1.63,-6.41%,35.93,4.03,+470.50%,04/21/17
KEM,"Kemet Corp",+344.70,11.2,-0.2,-1.75%,12.65,2.15,+420.93%,04/21/17
TWNKW,"Gores Holdings Warr",+338.56,2.86,-0.06,-2.05%,3,0.16,"+1,044.00%",04/21/17
CWEI,"Clayton Williams Energy",+320.56,132.9,0.93,+0.70%,149.86,14.82,+700.12%,04/21/17
OIB.C,"Oi Sa",+314.70,6.72,-0.12,-1.75%,9.19,1.01,+522.22%,04/21/17
BBGI,"Beasley Brdcst Gr",+303.31,13.95,0.65,+4.89%,14.25,3.64,+282.19%,04/21/17
CC,"Chemours Company",+302.30,37.53,0.44,+1.19%,39.02,5.82,+290.53%,04/21/17
MTNB,"Matinas Biopharma Hl",+272.10,2.93,0.06,+2.09%,3.99,0.45,+357.81%,04/21/17
AAOI,"Applied Optoelect Cmn",+263.98,45.54,1.23,+2.78%,60.19,8.08,+313.62%,04/21/17
ASMB,"Assembly Biosciences",+247.71,23.98,0.62,+2.65%,28.18,4.6,+349.91%,04/21/17
EVRI,"Everi Holdings Inc",+243.90,5.9,-0.15,-2.48%,6.17,1.13,+189.22%,04/21/17
EVI,"Envirostarm Inc",+226.40,21.05,0.35,+1.69%,25,3.56,+417.20%,"16:03 ET"
HSKA,"Heska Corp",+224.09,105.17,0.44,+0.42%,107.18,26.25,+272.68%,04/21/17
PME,"Pingtan Marine",+222.80,4.8,0,unch,5.18,0.84,+263.64%,"16:04 ET"
EXEL,"Exelixis Inc",+222.54,20.98,-0.34,-1.59%,23.49,4.25,+364.16%,04/21/17
BPMC,"Blueprint Medi Cm ST",+216.23,45.12,-0.88,-1.91%,47.4,13.27,+145.75%,04/21/17
SODA,"Sodastream Int Ltd",+210.64,53.97,-0.42,-0.77%,54.75,13.63,+277.41%,04/21/17
AMD,"Adv Micro Devices",+200.85,13,-0.11,-0.84%,15.55,3.18,+396.18%,04/21/17
REN,"Resolute Energy Corp",+197.00,38.38,-0.44,-1.13%,49.14,2.55,"+1,179.33%",04/21/17
CLVS,"Clovis Oncology Inc",+195.41,54.39,-0.71,-1.29%,74.94,11.57,+269.25%,04/21/17
AKAO,"Achaogen Inc Cmn",+195.02,22.08,-0.21,-0.94%,27.79,2.69,+491.96%,04/21/17
GOL,"Gol Linhas Aereas Inteligentes S.A.",+194.20,31.19,-0.22,-0.70%,33.46,6,+329.61%,"16:03 ET"
UCTT,"Ultra Clean Holdings",+193.39,16.11,0.01,+0.06%,16.99,5.01,+191.32%,04/21/17
MLP,"Maui Land & Pineapple Company",+184.60,13.8,0.2,+1.47%,14.1,5.3,+148.20%,"16:04 ET"
IVAC,"Intevac Inc",+184.42,13,-0.25,-1.89%,13.4,4.33,+174.26%,04/21/17
